Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,DetectorTime(ms),DescriptorTime(ms),#MatchedPoints,MatchingTime(ms))
AKAZE,BRISK,4,1360,163,42.55017500,187.19741900,129,0.32106700
AKAZE,BRISK,5,1347,164,37.18157600,190.97601100,131,0.32706200
AKAZE,BRISK,6,1363,173,35.86344200,188.31683500,132,0.31534900
AKAZE,BRISK,7,1331,175,36.13777500,188.50032300,142,0.32545100
AKAZE,BRISK,8,1357,177,37.04761100,186.90649000,146,0.40458900
AKAZE,BRISK,9,1331,179,41.25962500,187.85681800,144,0.34432500

AKAZE,BRIEF,0,1351,166,40.85711300,0.52741600,0,0.00233100
AKAZE,BRIEF,1,1327,157,37.22174600,0.54939800,141,0.29701700
AKAZE,BRIEF,2,1311,161,41.38053100,0.53600500,134,0.30999200
AKAZE,BRIEF,3,1351,155,40.83302800,0.53361200,131,0.31040200
AKAZE,BRIEF,4,1360,163,36.67705300,0.54076000,130,0.29314200
AKAZE,BRIEF,5,1347,164,37.09372500,0.54655300,134,0.28542900
AKAZE,BRIEF,6,1363,173,38.30791100,0.59547800,146,0.30798700
AKAZE,BRIEF,7,1331,175,37.43271500,0.55673500,150,0.37793500
AKAZE,BRIEF,8,1357,177,37.90263900,0.56617200,148,0.32254500
AKAZE,BRIEF,9,1331,179,37.66893000,0.59333300,152,0.31621600

AKAZE,ORB,0,1351,166,37.86865100,2.01583400,0,0.28747000
AKAZE,ORB,1,1327,157,37.83822500,2.05030200,131,0.28749200
AKAZE,ORB,2,1311,161,38.32167100,1.98199400,129,0.27205200
AKAZE,ORB,3,1351,155,40.93982400,1.94698800,127,0.28346800
AKAZE,ORB,4,1360,163,41.41068600,2.03384800,117,0.27447600
AKAZE,ORB,5,1347,164,42.98436700,2.01795200,130,0.27871900
AKAZE,ORB,6,1363,173,37.70651000,2.01418100,131,0.71775600
AKAZE,ORB,7,1331,175,38.65279000,2.00932400,137,0.31262800
AKAZE,ORB,8,1357,177,51.53959100,2.12225800,135,0.28752300
AKAZE,ORB,9,1331,179,43.02020400,2.25800500,145,0.32208700

AKAZE,FREAK,0,1351,166,43.26989400,29.95058000,0,0.00387100
AKAZE,FREAK,1,1327,157,43.41465800,37.12250600,126,0.31398400
AKAZE,FREAK,2,1311,161,43.09866300,35.00275800,129,0.29564200
AKAZE,FREAK,3,1351,155,42.88585500,39.98060700,127,0.30215400
AKAZE,FREAK,4,1360,163,43.32990800,34.70058400,121,0.33027400
AKAZE,FREAK,5,1347,164,39.47075800,38.79901300,122,0.34034300
AKAZE,FREAK,6,1363,173,41.37269100,31.56441300,133,0.27933800
AKAZE,FREAK,7,1331,175,38.67781600,29.97363900,144,0.32434800
AKAZE,FREAK,8,1357,177,48.01625700,37.74534100,147,0.36985300
AKAZE,FREAK,9,1331,179,41.39445000,31.56041600,138,0.35266400

AKAZE,AKAZE,0,1351,166,38.31345300,32.25943100,0,0.00404700
AKAZE,AKAZE,1,1327,157,37.29735400,35.27912700,138,0.31223000
AKAZE,AKAZE,2,1311,161,44.33295900,33.65290100,138,0.30203100
AKAZE,AKAZE,3,1351,155,44.97480700,41.35578400,133,0.30704400
AKAZE,AKAZE,4,1360,163,48.17739200,36.64267300,127,0.33533600
AKAZE,AKAZE,5,1347,164,45.19944600,39.08304100,129,0.38442200
AKAZE,AKAZE,6,1363,173,49.16769500,40.62590400,146,0.36632400
AKAZE,AKAZE,7,1331,175,49.77447500,41.90052000,147,0.40000800
AKAZE,AKAZE,8,1357,177,46.22781200,41.98616900,151,0.37980300
AKAZE,AKAZE,9,1331,179,47.39353600,40.31295300,150,0.47161600

AKAZE,SIFT,0,1351,166,47.98502600,14.42708000,0,0.00454600
AKAZE,SIFT,1,1327,157,47.25382700,15.90254400,134,0.43612200
AKAZE,SIFT,2,1311,161,45.36974100,14.88318400,134,0.42722600
AKAZE,SIFT,3,1351,155,47.62048700,16.14113200,130,0.45962500
AKAZE,SIFT,4,1360,163,46.52798300,16.45495400,136,0.40427300
AKAZE,SIFT,5,1347,164,47.20244400,15.94571900,137,0.43147600
AKAZE,SIFT,6,1363,173,44.64455200,14.65708100,147,0.45943400
AKAZE,SIFT,7,1331,175,47.36622200,16.10882100,147,0.45142800
AKAZE,SIFT,8,1357,177,52.42727800,17.92893900,154,0.47484400
AKAZE,SIFT,9,1331,179,49.13276900,19.32555800,151,0.43432000

SIFT,BRISK,0,1437,138,63.10030400,225.42035300,0,0.00341700
SIFT,BRISK,1,1371,132,58.50459000,220.01172500,64,0.26600700
SIFT,BRISK,2,1381,124,64.01247300,228.97540500,66,0.27479300
SIFT,BRISK,3,1336,138,59.69015100,218.68143000,63,0.23804300
SIFT,BRISK,4,1303,134,58.27188100,212.97534900,67,0.28946000
SIFT,BRISK,5,1370,140,72.05600000,211.94641800,59,0.32156700
SIFT,BRISK,6,1396,137,67.21378500,216.32162700,64,0.34889600
SIFT,BRISK,7,1382,148,56.80011300,217.35679800,64,0.26005300
SIFT,BRISK,8,1462,159,54.83774500,197.97166800,67,0.31028000
SIFT,BRISK,9,1422,137,53.57628200,198.06028400,80,0.28103800

SIFT,BRIEF,0,1437,138,54.59875300,0.51742400,0,0.00309300
SIFT,BRIEF,1,1371,132,53.47121700,0.50724200,86,0.29643100
SIFT,BRIEF,2,1381,124,54.78733900,0.46778300,78,0.24407300
SIFT,BRIEF,3,1336,138,54.04455000,0.53352100,77,0.19552200
SIFT,BRIEF,4,1303,134,55.22149800,0.49633400,86,0.27091300
SIFT,BRIEF,5,1370,140,53.49719600,0.51948700,69,0.27908600
SIFT,BRIEF,6,1396,137,55.70791400,0.49678100,74,0.28920600
SIFT,BRIEF,7,1382,148,53.99645700,0.53361200,76,0.27281500
SIFT,BRIEF,8,1462,159,68.76448800,0.57499800,70,0.28071800
SIFT,BRIEF,9,1422,137,54.95233500,0.51920000,88,0.26588400

SIFT,FREAK,0,1437,138,57.39059100,29.39686100,0,0.00325400
SIFT,FREAK,1,1371,132,54.68313400,29.08491900,65,0.28796000
SIFT,FREAK,2,1381,124,55.05909200,29.33631400,72,0.26037200
SIFT,FREAK,3,1336,138,54.78504900,28.99632700,65,0.25227300
SIFT,FREAK,4,1303,134,57.60146700,28.65841100,67,0.48199800
SIFT,FREAK,5,1370,140,55.27064300,28.76036000,59,0.42570300
SIFT,FREAK,6,1396,137,55.93357900,28.94746300,59,0.20935900
SIFT,FREAK,7,1382,148,55.59308600,29.05777700,64,0.25739300
SIFT,FREAK,8,1462,159,56.14699500,29.05601500,65,0.32841500
SIFT,FREAK,9,1422,137,55.64990600,29.11714100,79,0.54235200

SIFT,SIFT,0,1437,138,55.52624400,53.81915000,0,0.00339500
SIFT,SIFT,1,1371,132,55.81316000,53.50357400,82,0.29024300
SIFT,SIFT,2,1381,124,56.52715500,53.11601100,81,0.26441400
SIFT,SIFT,3,1336,138,55.98310700,52.21963800,86,0.32039200
SIFT,SIFT,4,1303,134,58.53041500,55.72826100,94,0.31418600
SIFT,SIFT,5,1370,140,57.43431100,53.90904600,90,0.30315900
SIFT,SIFT,6,1396,137,55.59702100,52.88746700,81,0.34328900
SIFT,SIFT,7,1382,148,56.26527200,52.50436900,82,0.30848600
SIFT,SIFT,8,1462,159,55.72349100,52.44222800,102,0.31170000
SIFT,SIFT,9,1422,137,56.17876200,52.43747400,104,0.34437300

